customer_id,first_name,last_name,gender,date_of_birth,email,phone,city,state,country,registration_date,customer_segment
1,Priya,Verma,Male,1995-01-13,customer1@nexusretail.com,9751028618,Surat,Gujarat,India,2024-05-02,Premium
2,Nisha,Gupta,Female,1990-03-18,customer2@nexusretail.com,9419280490,Bhopal,Madhya Pradesh,India,2024-06-25,Premium
3,Kavya,Tripathi,Male,1997-05-07,customer3@nexusretail.com,9918982730,Nagpur,Maharashtra,India,2022-07-23,New
4,Ayush,Gupta,Male,1977-01-17,customer4@nexusretail.com,9286630878,Bengaluru,Karnataka,India,2023-05-07,Premium
5,Aditya,Singh,Female,1990-03-18,customer5@nexusretail.com,9737599912,Delhi,Delhi,India,2025-11-12,Regular
6,Priya,Sharma,Female,2001-09-17,customer6@nexusretail.com,9854827139,Surat,Gujarat,India,2023-08-03,Regular
7,Aditya,Jain,Female,2005-05-04,customer7@nexusretail.com,9733281747,Surat,Gujarat,India,2025-07-04,Premium
8,Karan,Mishra,Male,1999-01-19,customer8@nexusretail.com,9385220694,Chandigarh,Chandigarh,India,2022-11-02,New
9,Aditya,Sharma,Female,1996-09-10,customer9@nexusretail.com,9409893263,Pune,Maharashtra,India,2025-03-11,Regular
10,Arjun,Patel,Female,1982-03-19,customer10@nexusretail.com,9679800791,Chennai,Tamil Nadu,India,2024-10-21,Regular
11,Isha,Verma,Male,1989-05-19,customer11@nexusretail.com,9748232591,Raipur,Chhattisgarh,India,2023-10-23,Regular
12,Aarav,Verma,Male,2004-04-21,customer12@nexusretail.com,9981994345,Surat,Gujarat,India,2025-10-08,Regular
13,Meera,Sharma,Female,1993-04-12,customer13@nexusretail.com,9574840200,Pune,Maharashtra,India,2025-08-27,Regular
14,Rohan,Das,Female,1974-02-03,customer14@nexusretail.com,9473620340,Bhubaneswar,Odisha,India,2024-08-20,Regular
15,Sneha,Yadav,Male,1984-10-17,customer15@nexusretail.com,9844826434,Chandigarh,Chandigarh,India,2024-04-23,Regular
16,Priya,Jain,Male,1990-05-27,customer16@nexusretail.com,9437710224,Kolkata,West Bengal,India,2022-06-30,Regular
17,Sneha,Verma,Male,1999-07-03,customer17@nexusretail.com,9596043327,Kolkata,West Bengal,India,2025-01-16,Regular
18,Vivaan,Gupta,Female,1997-12-06,customer18@nexusretail.com,9771527524,Bhopal,Madhya Pradesh,India,2024-10-17,Regular
19,Shreya,Sharma,Female,1994-08-21,customer19@nexusretail.com,9409268943,Ahmedabad,Gujarat,India,2022-09-26,Regular
20,Ravi,Patel,Male,1998-04-06,customer20@nexusretail.com,9958256589,Chandigarh,Chandigarh,India,2025-05-31,New
21,Ravi,Singh,Male,1994-10-10,customer21@nexusretail.com,9200082623,Chennai,Tamil Nadu,India,2024-04-15,New
22,Arjun,Patel,Male,1992-05-10,customer22@nexusretail.com,9646397165,Chandigarh,Chandigarh,India,2023-08-21,Premium
23,Ananya,Mishra,Female,1980-12-07,customer23@nexusretail.com,9691916368,Guwahati,Assam,India,2024-07-24,New
24,Pooja,Gupta,Male,1973-02-17,customer24@nexusretail.com,9929653607,Raipur,Chhattisgarh,India,2023-07-20,Regular
25,Sneha,Pandey,Female,1970-02-12,customer25@nexusretail.com,9879591310,Bhopal,Madhya Pradesh,India,2023-08-03,Regular
26,Meera,Das,Male,1990-01-12,customer26@nexusretail.com,9620057604,Guwahati,Assam,India,2025-01-08,Regular
27,Sneha,Khan,Female,1990-06-05,customer27@nexusretail.com,9302563940,Indore,Madhya Pradesh,India,2023-10-22,Premium
28,Vikram,Das,Male,2004-10-15,customer28@nexusretail.com,9146865930,Kolkata,West Bengal,India,2024-04-21,Regular
29,Sakshi,Patel,Female,1999-10-09,customer29@nexusretail.com,9263321843,Kolkata,West Bengal,India,2025-08-28,Regular
30,Vivaan,Singh,Female,1974-07-03,customer30@nexusretail.com,9207064620,Bhopal,Madhya Pradesh,India,2024-06-20,Premium
31,Isha,Sharma,Female,1999-05-16,customer31@nexusretail.com,9180346223,Mumbai,Maharashtra,India,2022-11-13,Regular
32,Ananya,Yadav,Female,1999-02-24,customer32@nexusretail.com,9452794611,Raipur,Chhattisgarh,India,2022-06-14,Premium
33,Riya,Mishra,Female,1994-04-09,customer33@nexusretail.com,9762992051,Hyderabad,Telangana,India,2022-03-15,New
34,Vikram,Jain,Male,2003-07-02,customer34@nexusretail.com,9565973314,Chennai,Tamil Nadu,India,2022-07-05,New
35,Shreya,Jain,Female,1977-06-18,customer35@nexusretail.com,9421549249,Chandigarh,Chandigarh,India,2025-11-22,New
36,Vivaan,Yadav,Female,1986-01-30,customer36@nexusretail.com,9562446417,Lucknow,Uttar Pradesh,India,2024-02-07,New
37,Vikram,Khan,Male,1977-08-17,customer37@nexusretail.com,9184791618,Bhubaneswar,Odisha,India,2022-12-25,Premium
38,Pooja,Das,Female,1996-02-28,customer38@nexusretail.com,9349310440,Surat,Gujarat,India,2022-10-21,Regular
39,Ayush,Tripathi,Female,1999-11-30,customer39@nexusretail.com,9963968184,Patna,Bihar,India,2022-01-20,Regular
40,Priya,Jain,Male,1973-04-25,customer40@nexusretail.com,9471048258,Indore,Madhya Pradesh,India,2024-06-23,Premium
41,Priya,Jain,Female,1990-06-29,customer41@nexusretail.com,9313907621,Bhubaneswar,Odisha,India,2023-09-11,Regular
42,Aditi,Verma,Female,1995-08-28,customer42@nexusretail.com,9717199615,Surat,Gujarat,India,2024-01-06,Regular
43,Ravi,Tripathi,Female,1982-04-25,customer43@nexusretail.com,9707661655,Delhi,Delhi,India,2022-01-17,Premium
44,Shreya,Malhotra,Female,1982-11-03,customer44@nexusretail.com,9751831074,Lucknow,Uttar Pradesh,India,2023-04-17,Regular
45,Vikram,Jain,Female,2000-05-27,customer45@nexusretail.com,9831062591,Ahmedabad,Gujarat,India,2025-09-12,New
46,Ayush,Verma,Female,2005-05-17,customer46@nexusretail.com,9135824891,Lucknow,Uttar Pradesh,India,2024-06-21,Premium
47,Neha,Malhotra,Male,1983-03-29,customer47@nexusretail.com,9902601465,Mumbai,Maharashtra,India,2023-11-01,Regular
48,Rohan,Gupta,Female,1993-10-24,customer48@nexusretail.com,9392624015,Mumbai,Maharashtra,India,2024-10-24,New
49,Ananya,Pandey,Female,2003-06-28,customer49@nexusretail.com,9963538119,Guwahati,Assam,India,2023-11-25,New
50,Isha,Verma,Male,2000-05-03,customer50@nexusretail.com,9526717340,Mumbai,Maharashtra,India,2025-10-13,Premium
51,Neha,Verma,Male,1981-11-11,customer51@nexusretail.com,9232702394,Kolkata,West Bengal,India,2025-01-03,Regular
52,Neha,Jain,Female,1998-08-23,customer52@nexusretail.com,9216335741,Bengaluru,Karnataka,India,2024-01-31,Premium
53,Vikram,Patel,Female,1997-05-14,customer53@nexusretail.com,9795411453,Delhi,Delhi,India,2023-03-30,New
54,Ayush,Tiwari,Female,1999-02-15,customer54@nexusretail.com,9225279834,Patna,Bihar,India,2024-04-16,New
55,Vivaan,Sharma,Female,1975-03-18,customer55@nexusretail.com,9352114611,Chennai,Tamil Nadu,India,2022-07-19,Premium
56,Rahul,Mishra,Female,2000-01-29,customer56@nexusretail.com,9680027275,Patna,Bihar,India,2025-11-27,Regular
57,Meera,Malhotra,Female,1999-05-19,customer57@nexusretail.com,9995171130,Mumbai,Maharashtra,India,2022-07-22,Regular
58,Nisha,Mishra,Male,2000-12-18,customer58@nexusretail.com,9333291547,Bengaluru,Karnataka,India,2024-01-29,Regular
59,Isha,Gupta,Male,2000-10-04,customer59@nexusretail.com,9684615760,Kochi,Kerala,India,2024-01-23,Premium
